Date,Transaction Description,Category,Amount (Rupiah),Type
2020-06-16,Payment tools fuel economy travel transfer.,Utilities,281200,Expense
2020-06-16,Processed equipment premium.,Shopping,11638400,Expense
2020-06-16,Payment salary tax grocery app.,Utilities,11268400,Expense
2020-06-16,Taxi train market flight.,Rent,1520800,Expense
2020-06-16,Deposit annual personal transfer material.,Entertainment,17749600,Expense
2020-06-16,Electricity tools delivery hospital tax financial business.,Travel,16904700,Expense
2020-06-16,Bonus annual purchase processed mall restaurant water.,Rent,8140100,Expense
2020-06-16,Deposit order processed.,Health & Fitness,8389600,Expense
2020-06-16,Entertainment balance gym water management.,Utilities,4333200,Expense
2020-06-16,Premium interest delivery hardware.,Health & Fitness,15958500,Expense
2020-06-17,Regular vendor economy invoice.,Shopping,12525200,Expense
2020-06-17,Equipment food daily advance daily parking weekly.,Food & Drink,4380800,Expense
2020-06-17,Priority total material.,Travel,6738600,Expense
2020-06-17,Pending client total purchase daily.,Rent,12128400,Expense
2020-06-17,Investment annual phone system package vendor online.,Utilities,6045600,Expense
2020-06-17,Food plan vendor total equipment.,Travel,14969900,Expense
2020-06-17,Household food premium tools.,Rent,12912600,Expense
2020-06-17,Material entertainment total grocery flight household.,Entertainment,16520800,Expense
2020-06-18,Everything late.,Other,23220000,Income
2020-06-18,Bill food software.,Shopping,14271600,Expense
2020-06-18,Electricity standard shop.,Food & Drink,8305100,Expense
2020-06-18,Water system.,Travel,13252600,Expense
2020-06-18,Let stay or focus.,Rent,7712600,Expense
2020-06-18,Particular her agreement surface consider.,Other,33640000,Income
2020-06-18,Freelance budget management equipment.,Utilities,2827700,Expense
2020-06-18,Train train tax annual processed delivery bonus.,Utilities,12295400,Expense
2020-06-19,Something future they red.,Entertainment,4536200,Expense
2020-06-19,Taxi electricity transfer equipment charge debit.,Health & Fitness,17089700,Expense
2020-06-19,Support renewal automatic online order hardware app.,Travel,6121700,Expense
2020-06-19,Reward booking mall salary personal food.,Investment,13456700,Income
2020-06-19,Regular account pending clinic fee.,Investment,22880200,Income
2020-06-19,Act way beat result major.,Shopping,6632400,Expense
2020-06-20,Mortgage special online health online regular bus.,Rent,5405600,Expense
2020-06-20,Network package reward platform purchase.,Food & Drink,7702900,Expense
2020-06-20,Market salary regular app water.,Investment,15782800,Income
2020-06-20,Standard internet bill business hotel.,Food & Drink,11178600,Expense
2020-06-20,Utility software discount financial travel.,Other,12734900,Income
2020-06-20,Financial restaurant weekly charge.,Travel,8476400,Expense
2020-06-21,Taxi grocery client fuel.,Travel,3795100,Expense
2020-06-21,Premium pharmacy online shop adjustment account.,Entertainment,5539500,Expense
2020-06-21,Insurance internet health.,Salary,9005200,Income
2020-06-21,Pharmacy gym hospital travel project.,Utilities,15454700,Expense
2020-06-21,Position make society behavior.,Travel,7087800,Expense
2020-06-21,Credit investment flight.,Other,15875100,Income
2020-06-21,Reality fill ok list.,Health & Fitness,18790800,Expense
2020-06-21,Renewal direct invoice hotel tax priority.,Other,26184800,Income
2020-06-21,Insurance gym restaurant account processed express.,Other,24080400,Income
2020-06-21,Salary annual household fee deposit business advance.,Salary,15127900,Income
2020-06-22,Salary fuel electricity shop grocery premium utility.,Rent,11583600,Expense
2020-06-22,Edge building court.,Travel,861300,Expense
2020-06-22,Pending store.,Utilities,4420200,Expense
2020-06-22,International second former reflect.,Other,19620000,Income
2020-06-22,Market annual.,Other,34186900,Income
2020-06-23,Discount transfer investment.,Travel,19427600,Expense
2020-06-23,Insurance transfer water flight material investment.,Utilities,1385200,Expense
2020-06-23,Standard loan bus economy.,Entertainment,7131300,Expense
2020-06-23,Bill adjustment account gym.,Health & Fitness,1852400,Expense
2020-06-23,Direct management.,Salary,18816000,Income
2020-06-23,Pharmacy travel bus equipment bonus financial.,Food & Drink,14456500,Expense
2020-06-23,Digital tools equipment digital.,Food & Drink,10370800,Expense
2020-06-23,Vendor daily interest gym advance investment.,Investment,25811700,Income
2020-06-23,Annual plan invoice mall water gym clinic.,Entertainment,13260200,Expense
2020-06-24,Tools software online.,Shopping,8429000,Expense
2020-06-24,Business network mall transfer.,Shopping,8433000,Expense
2020-06-24,Balance reward household direct network parking plan.,Utilities,12578500,Expense
2020-06-24,Gross bonus weekly plan market.,Salary,1708900,Income
2020-06-24,Week real course school everybody.,Health & Fitness,14598000,Expense
2020-06-24,Taxi tax utility.,Utilities,7395600,Expense
2020-06-24,Taxi market client interest plan regular reward.,Rent,3611200,Expense
2020-06-24,Software water express.,Other,24349000,Income
2020-06-25,Express annual transfer support food tools.,Utilities,4595800,Expense
2020-06-25,System project financial travel deal health freelance.,Health & Fitness,7457300,Expense
2020-06-25,Booking budget priority order network.,Salary,12061800,Income
2020-06-25,Annual deposit budget tools.,Investment,39402900,Income
2020-06-25,Balance tax.,Food & Drink,18306400,Expense
2020-06-26,Premium entertainment support flight purchase mortgage.,Shopping,9958000,Expense
2020-06-26,Digital invoice fuel entertainment weekly insurance processed.,Investment,21340800,Income
2020-06-26,Priority interest freelance premium hospital express entertainment.,Health & Fitness,9635200,Expense
2020-06-26,Priority restaurant gym client.,Other,20507000,Income
2020-06-26,Order personal package business.,Other,24804900,Income
2020-06-27,Transfer hospital insurance monthly health clinic.,Entertainment,6818000,Expense
2020-06-27,Plan priority.,Entertainment,10171400,Expense
2020-06-27,Priority client weekly deal insurance network health.,Investment,35255600,Income
2020-06-27,Tools online online.,Utilities,11210400,Expense
2020-06-27,Daily investment equipment grocery.,Rent,19016900,Expense
2020-06-27,Package network gym.,Travel,12497500,Expense
2020-06-27,Contract booking subscription platform client annual.,Utilities,3050300,Expense
2020-06-28,Order tools.,Travel,10747600,Expense
2020-06-28,Market business direct pharmacy delivery fee.,Travel,12577600,Expense
2020-06-28,Parking utility project system.,Salary,7389500,Income
2020-06-28,Booking tax.,Utilities,15490000,Expense
2020-06-28,App budget priority invoice package monthly invoice.,Health & Fitness,6828700,Expense
2020-06-28,Freelance service.,Travel,9738400,Expense
2020-06-28,Equipment taxi tax.,Investment,9590100,Income
2020-06-28,Clinic regular investment store total fee.,Entertainment,10881200,Expense
2020-06-28,Insurance taxi parking delivery pharmacy charge bonus.,Utilities,8545300,Expense
2020-06-28,Bonus entertainment special delivery annual.,Utilities,14912600,Expense
2020-06-29,Deal special health premium.,Shopping,14367000,Expense
2020-06-29,Hotel discount pharmacy bonus.,Salary,11644800,Income
2020-06-29,Economy insurance credit electricity personal personal.,Investment,39520700,Income
2020-06-29,Store platform market app.,Salary,10695400,Income
2020-06-29,Advance pharmacy software business.,Rent,6519100,Expense
2020-06-30,Call animal approach factor want.,Travel,983300,Expense
2020-06-30,Executive beyond create dinner conference.,Rent,7765400,Expense
2020-06-30,System equipment reward payment digital support grocery.,Investment,15917100,Income
2020-06-30,Direct gym loan.,Health & Fitness,11786400,Expense
2020-07-01,Total priority pending reward.,Entertainment,9568500,Expense
2020-07-01,Flight client weekly pharmacy network digital.,Travel,9185500,Expense
2020-07-01,Savings interest hardware.,Shopping,7946400,Expense
2020-07-01,Software subscription weekly parking.,Rent,15488900,Expense
2020-07-01,Financial material project monthly.,Rent,15015600,Expense
2020-07-02,Project loan software deal plan monthly budget.,Investment,35967100,Income
2020-07-02,Material subscription parking.,Food & Drink,15263000,Expense
2020-07-02,Their off.,Entertainment,7348000,Expense
2020-07-02,System train.,Other,10452100,Income
2020-07-02,Business monthly clinic premium regular.,Shopping,6277100,Expense
2020-07-03,Plan order support charge deposit deal parking.,Entertainment,18043000,Expense
2020-07-03,Payment subscription network.,Food & Drink,11845700,Expense
2020-07-03,Network train financial mortgage.,Health & Fitness,11960900,Expense
2020-07-03,Deal restaurant tools savings.,Health & Fitness,14432000,Expense
2020-07-03,Material water clinic annual bill salary business.,Utilities,13617600,Expense
2020-07-03,Key continue anything wait.,Other,30710000,Income
2020-07-03,Business order freelance.,Food & Drink,9757700,Expense
2020-07-03,Advance special invoice software fuel purchase.,Rent,8294000,Expense
2020-07-03,Hardware parking.,Entertainment,13168900,Expense
2020-07-04,Fee budget vendor standard water standard standard.,Utilities,6493400,Expense
2020-07-04,Account gym.,Travel,16822000,Expense
2020-07-04,State husband.,Rent,14423100,Expense
2020-07-05,Investment debit.,Shopping,4196400,Expense
2020-07-05,Budget invoice business bill digital phone pharmacy.,Entertainment,7888800,Expense
2020-07-05,Picture approach chance none fight.,Travel,13371200,Expense
2020-07-05,Utility daily priority discount fee online.,Shopping,3103000,Expense
2020-07-05,Monthly annual tax mall network weekly management.,Investment,25429000,Income
2020-07-05,Clinic total hardware package.,Shopping,6089800,Expense
2020-07-05,Reward internet plan mortgage.,Travel,8381200,Expense
2020-07-06,Digital platform net charge reward gross economy.,Investment,30855200,Income
2020-07-06,Vendor food deal.,Travel,11519300,Expense
2020-07-06,Financial direct equipment tax savings fee.,Other,48150300,Income
2020-07-06,Parking mortgage equipment standard pending service.,Entertainment,6901100,Expense
2020-07-06,Herself training father open investment.,Other,19250000,Income
2020-07-06,Newspaper indicate other.,Travel,11132800,Expense
2020-07-06,Payment charge internet balance.,Salary,1238100,Income
2020-07-06,Savings service economy standard charge deposit interest.,Rent,6015500,Expense
2020-07-06,Package utility store.,Food & Drink,10434000,Expense
2020-07-07,Renewal discount charge package.,Entertainment,6445900,Expense
2020-07-07,Priority fee hotel hotel equipment.,Entertainment,6073200,Expense
2020-07-07,Bonus software standard tax direct service annual.,Entertainment,5288000,Expense
2020-07-07,Train adjustment.,Health & Fitness,2808300,Expense
2020-07-07,Charge app priority savings discount monthly.,Utilities,1054100,Expense
2020-07-07,Gross payment.,Shopping,17329700,Expense
2020-07-08,Net grocery discount purchase reward hospital.,Salary,7695000,Income
2020-07-08,Insurance charge hardware package financial.,Food & Drink,4597200,Expense
2020-07-08,Art whether between several personal.,Travel,8180900,Expense
2020-07-08,Phone business daily debit reward.,Travel,2474100,Expense
2020-07-08,Online booking app premium standard weekly.,Other,29078800,Income
2020-07-09,Deal daily invoice total.,Shopping,13440400,Expense
2020-07-09,Material water software clinic pharmacy.,Food & Drink,18048000,Expense
2020-07-09,Deal market entertainment.,Travel,13121900,Expense
2020-07-09,Gross weekly renewal priority purchase online hotel.,Travel,14471000,Expense
2020-07-09,Train net advance regular health package.,Travel,8042500,Expense
2020-07-09,Adjustment software electricity premium.,Entertainment,13036600,Expense
2020-07-09,Household bus.,Travel,6880000,Expense
2020-07-09,Plan household.,Salary,7161300,Income
2020-07-10,Savings discount purchase.,Travel,4557100,Expense
2020-07-10,Parking network discount gross.,Food & Drink,14692800,Expense
2020-07-10,Platform vendor client monthly shop daily.,Food & Drink,4557500,Expense
2020-07-10,Tax tools priority processed clinic health salary.,Other,35024100,Income
2020-07-10,Business client monthly fuel charge support.,Shopping,12220000,Expense
2020-07-10,Support fee bus.,Health & Fitness,5351400,Expense
2020-07-10,Bus mall.,Travel,2841400,Expense
2020-07-11,Train grocery bus fee.,Shopping,18568900,Expense
2020-07-11,Church community.,Travel,5809600,Expense
2020-07-12,Priority pharmacy account.,Investment,37787100,Income
2020-07-12,Bonus food purchase invoice daily.,Food & Drink,9597100,Expense
2020-07-12,Fee business monthly management.,Health & Fitness,7255400,Expense
2020-07-12,Phone maintenance electricity.,Entertainment,12049900,Expense
2020-07-12,Total business train.,Travel,6189400,Expense
2020-07-12,Able late order.,Health & Fitness,9353300,Expense
2020-07-12,Discuss religious.,Entertainment,10272400,Expense
2020-07-12,Charge freelance debit delivery.,Travel,11854000,Expense
2020-07-12,Network renewal electricity platform salary premium.,Other,41221300,Income
2020-07-13,Savings gross.,Other,35408600,Income
2020-07-13,Weekly insurance.,Rent,3640600,Expense
2020-07-13,Direct interest renewal project.,Health & Fitness,5566100,Expense
2020-07-13,Personal mall store.,Health & Fitness,4790800,Expense
2020-07-13,Bonus mall clinic package direct adjustment.,Travel,17303500,Expense
2020-07-13,Budget economy direct tax hardware service weekly.,Entertainment,14492000,Expense
2020-07-13,Reach under.,Utilities,13211100,Expense
2020-07-14,Budget discount invoice fuel.,Shopping,11070800,Expense
2020-07-14,Debit tax food food budget reward.,Shopping,10831200,Expense
2020-07-14,Material service fee equipment.,Other,23723900,Income
2020-07-14,Tax daily.,Salary,11357700,Income
2020-07-14,Loan budget hospital digital management.,Shopping,8430900,Expense
2020-07-14,Material shop deposit internet market.,Shopping,11258200,Expense
2020-07-15,System salary parking weekly direct weekly.,Shopping,10123100,Expense
2020-07-15,Delivery management regular salary store budget clinic.,Rent,13472100,Expense
2020-07-15,Deal total internet mortgage mall.,Travel,7993100,Expense
2020-07-15,Weekly gym special monthly.,Travel,12680000,Expense
2020-07-15,Renewal market account insurance gym total.,Rent,12487300,Expense
2020-07-15,App purchase.,Food & Drink,15155600,Expense
2020-07-15,Financial interest management freelance pharmacy special.,Shopping,7814100,Expense
2020-07-16,Adjustment mortgage market.,Rent,6932500,Expense
2020-07-16,Salary tax.,Travel,9707800,Expense
2020-07-16,Invoice maintenance booking freelance charge budget train.,Salary,3402000,Income
2020-07-16,Flight management restaurant plan maintenance plan.,Health & Fitness,14997900,Expense
2020-07-16,Loan freelance contract reward.,Health & Fitness,8687200,Expense
2020-07-16,Bill advance.,Food & Drink,8685800,Expense
2020-07-17,Boy different chance enter.,Health & Fitness,1958400,Expense
2020-07-17,Deposit automatic insurance tax.,Food & Drink,3877600,Expense
2020-07-17,Plan mall processed booking charge charge.,Shopping,8998400,Expense
2020-07-17,Online electricity food.,Travel,11689800,Expense
2020-07-17,Plan market project financial hardware budget annual.,Other,25385400,Income
2020-07-17,Reward account food bus.,Food & Drink,11835200,Expense
2020-07-18,Household account advance online gym.,Travel,5505100,Expense
2020-07-18,Project system weekly health standard transfer annual.,Rent,3839800,Expense
2020-07-18,Weekly management hardware management.,Investment,11417700,Income
2020-07-18,Store hotel.,Food & Drink,15397500,Expense
2020-07-18,Balance platform direct fuel discount.,Salary,7108000,Income
2020-07-18,Annual monthly.,Rent,10428600,Expense
2020-07-18,Support vendor debit savings fuel debit transfer.,Investment,21407900,Income
2020-07-18,Pending entertainment app tools bonus system.,Rent,15030900,Expense
2020-07-19,Adjustment gym bill standard water standard.,Other,16306600,Income
2020-07-19,Financial project processed financial processed.,Rent,6084800,Expense
2020-07-19,Utility freelance service pending food pending material.,Investment,22480100,Income
2020-07-19,Internet contract purchase bonus client entertainment taxi.,Food & Drink,17289800,Expense
2020-07-19,Mall transfer personal priority regular pharmacy.,Shopping,15054400,Expense
2020-07-19,Software freelance interest.,Health & Fitness,12894400,Expense
2020-07-19,Support shop grocery net internet.,Food & Drink,10588700,Expense
2020-07-20,Management reward discount gross.,Entertainment,6031500,Expense
2020-07-20,Management priority automatic payment insurance equipment.,Investment,29529800,Income
2020-07-20,Entertainment purchase monthly business standard discount.,Entertainment,3809300,Expense
2020-07-20,Arrive society.,Entertainment,13488600,Expense
2020-07-20,Delivery order economy pharmacy.,Health & Fitness,15630500,Expense
2020-07-20,Travel total renewal adjustment.,Utilities,3251400,Expense
2020-07-21,Express mortgage software total monthly material.,Food & Drink,15419500,Expense
2020-07-21,Keep light fight.,Entertainment,3032300,Expense
2020-07-21,Matter management ball.,Other,10960000,Income
2020-07-22,Support investment hotel account.,Salary,4414700,Income
2020-07-22,Week yourself public especially american.,Shopping,4955300,Expense
2020-07-22,Same page ago director.,Entertainment,14395100,Expense
2020-07-22,Payment package tools store advance bill utility.,Health & Fitness,5367600,Expense
2020-07-22,Digital tools phone fuel project insurance entertainment.,Utilities,10504500,Expense
2020-07-22,App reward credit.,Entertainment,13790000,Expense
2020-07-22,Million kind everything young.,Food & Drink,17863900,Expense
2020-07-23,Why like impact fly.,Rent,15590600,Expense
2020-07-23,Bill train software equipment client bill fee.,Other,8182500,Income
2020-07-23,Savings digital priority.,Salary,19786500,Income
2020-07-23,Premium travel premium hardware.,Rent,4470500,Expense
2020-07-23,System fuel premium platform.,Rent,5357000,Expense
2020-07-23,Economy processed monthly express freelance investment debit.,Investment,25944700,Income
2020-07-23,Loan phone.,Food & Drink,10010400,Expense
2020-07-23,Entertainment invoice business system financial management project.,Investment,44781700,Income
2020-07-24,Priority discount order gross payment.,Rent,2154000,Expense
2020-07-24,Processed reward parking gross.,Salary,19918800,Income
2020-07-24,Bonus fuel booking hardware material annual annual.,Rent,13834200,Expense
2020-07-24,Annual loan annual.,Entertainment,10872200,Expense
2020-07-24,Form really explain.,Salary,1099300,Income
2020-07-24,Financial food.,Rent,10825800,Expense
2020-07-24,Balance debit delivery loan salary restaurant.,Health & Fitness,12273000,Expense
2020-07-24,Food interest advance parking purchase.,Rent,10250300,Expense
2020-07-25,Deposit tools.,Investment,17909400,Income
2020-07-25,Loan discount.,Utilities,2994700,Expense
2020-07-25,Budget gym taxi fee.,Travel,15138200,Expense
2020-07-26,Budget food fuel renewal budget.,Food & Drink,18923200,Expense
2020-07-26,Hospital grocery daily financial.,Salary,4536400,Income
2020-07-26,Taxi vendor tools deal project.,Utilities,3724200,Expense
2020-07-26,Food adjustment.,Utilities,17302300,Expense
2020-07-26,Insurance software reward mall account.,Entertainment,6152500,Expense
2020-07-26,Investment business payment interest project clinic parking.,Salary,9989400,Income
2020-07-26,Client health.,Travel,8465300,Expense
2020-07-26,Priority deal maintenance client delivery premium hospital.,Food & Drink,13108400,Expense
2020-07-27,Bus internet.,Food & Drink,6314100,Expense
2020-07-27,Fee interest electricity.,Entertainment,10807700,Expense
2020-07-27,Direct entertainment market renewal gross priority grocery.,Salary,6045200,Income
2020-07-27,Health priority booking pharmacy subscription.,Health & Fitness,3874800,Expense
2020-07-27,Software direct deal package subscription.,Utilities,9950100,Expense
2020-07-28,Travel order automatic management restaurant.,Salary,17249800,Income
2020-07-28,Payment direct grocery advance flight.,Entertainment,9568300,Expense
2020-07-28,Price my.,Health & Fitness,19005800,Expense
2020-07-28,Business client direct.,Utilities,13658100,Expense
2020-07-28,Already because education break significant.,Rent,9183600,Expense
2020-07-28,Insurance priority insurance.,Health & Fitness,14550300,Expense
2020-07-28,Food material account tax taxi grocery health.,Other,25842400,Income
2020-07-28,Reward order system.,Travel,3230000,Expense
2020-07-28,Renewal adjustment standard net support.,Investment,31380700,Income
2020-07-29,Charge savings.,Investment,24599000,Income
2020-07-29,Service platform.,Entertainment,11361100,Expense
2020-07-29,Package renewal.,Shopping,9932300,Expense
2020-07-29,Support taxi market transfer hospital.,Salary,2949800,Income
2020-07-29,Pending project daily automatic booking booking service.,Salary,11828400,Income
2020-07-29,Project premium.,Investment,45950100,Income
2020-07-29,Platform bill system budget freelance.,Shopping,7938400,Expense
2020-07-29,Could gun.,Shopping,16628300,Expense
2020-07-30,Express savings.,Salary,6703700,Income
2020-07-30,Savings entertainment vendor invoice direct daily.,Salary,312500,Income
2020-07-30,Utility direct bus economy.,Other,15730600,Income
2020-07-30,Weekly standard deal.,Investment,31794700,Income
2020-07-30,Plan express economy savings daily.,Salary,15326200,Income
2020-07-30,Kind appear environment capital explain.,Utilities,14898700,Expense
2020-07-30,Discount electricity processed processed premium net client.,Shopping,14167000,Expense
2020-07-30,Total mall automatic tools client project hospital.,Salary,9271900,Income
2020-07-31,Management mall.,Utilities,8455000,Expense
2020-07-31,Ahead picture son.,Travel,15060400,Expense
2020-07-31,Software plan network gross budget.,Shopping,9747300,Expense
2020-07-31,Renewal digital premium order savings mall app.,Rent,10632600,Expense
2020-08-01,Service insurance express priority.,Shopping,4178900,Expense
2020-08-01,Water positive child usually.,Entertainment,5564500,Expense
2020-08-01,Adjustment direct economy client.,Entertainment,11163600,Expense
2020-08-01,Grocery hotel.,Food & Drink,18391000,Expense
2020-08-01,Reward adjustment mortgage water.,Health & Fitness,12987200,Expense
2020-08-01,Relate indeed lot line lead.,Other,24200000,Income
2020-08-01,Transfer processed mortgage internet train purchase.,Entertainment,9328500,Expense
2020-08-01,Nearly need behavior.,Travel,15339700,Expense
2020-08-01,Taxi adjustment discount project bus.,Salary,14136500,Income
2020-08-01,Package insurance bus balance.,Travel,14817700,Expense
2020-08-01,Insurance bus package.,Entertainment,9811100,Expense
2020-08-02,Delivery pending equipment hotel.,Shopping,1818700,Expense
2020-08-02,Service system standard.,Shopping,8447500,Expense
2020-08-02,Material deal parking economy automatic.,Rent,11505200,Expense
2020-08-02,Priority tax credit savings train platform discount.,Other,48506800,Income
2020-08-02,Train electricity economy vendor support utility client.,Utilities,5451200,Expense
2020-08-02,Flight total booking deal.,Rent,10827600,Expense
2020-08-02,Flight bonus processed health.,Investment,15044900,Income
2020-08-02,Renewal deposit hardware monthly.,Health & Fitness,11462200,Expense
2020-08-02,Course out second carry.,Health & Fitness,17871200,Expense
2020-08-03,Store gross financial.,Investment,36542600,Income
2020-08-03,Tax phone.,Utilities,9977100,Expense
2020-08-03,Taxi food shop plan charge order.,Salary,11146500,Income
2020-08-03,Significant take future.,Investment,23940000,Income
2020-08-03,Budget internet train standard maintenance adjustment freelance.,Food & Drink,8093800,Expense
2020-08-04,Health invoice restaurant.,Entertainment,15121400,Expense
2020-08-04,Store investment delivery contract phone monthly.,Entertainment,16562000,Expense
2020-08-04,Charge hospital bonus processed.,Rent,11116400,Expense
2020-08-04,Interest project phone.,Rent,4735500,Expense
2020-08-04,Star executive fear.,Utilities,14157700,Expense
2020-08-04,Help usually thank wonder draw.,Shopping,1339100,Expense
2020-08-04,Your majority chance mrs generation.,Other,32100000,Income
2020-08-04,Loan budget adjustment flight service entertainment.,Investment,45292800,Income
2020-08-04,Priority economy utility budget budget special.,Rent,6257000,Expense
2020-08-05,Task improve fish.,Shopping,18106300,Expense
2020-08-05,History professional star wonder.,Food & Drink,17149000,Expense
2020-08-05,Mall renewal food balance.,Utilities,5458800,Expense
2020-08-05,Electricity pending freelance train fee.,Salary,6807000,Income
2020-08-05,Restaurant daily.,Shopping,8928000,Expense
2020-08-06,Standard package travel account hardware salary.,Rent,8962200,Expense
2020-08-06,Business phone budget store store deal.,Other,19068700,Income
2020-08-06,Call whole.,Shopping,9591900,Expense
2020-08-06,Deal delivery plan vendor flight client.,Health & Fitness,12901300,Expense
2020-08-06,Pending fuel transfer hotel discount bus hospital.,Investment,12162800,Income
2020-08-06,Flight budget mortgage.,Utilities,996700,Expense
2020-08-07,Booking business personal.,Travel,7173400,Expense
2020-08-07,Interest savings invoice budget.,Salary,2744800,Income
2020-08-07,Balance discount bonus.,Travel,12789200,Expense
2020-08-07,Freelance automatic market software online mall special.,Travel,8075900,Expense
2020-08-07,Train personal bill payment investment transfer delivery.,Rent,14716500,Expense
2020-08-08,Online hardware tools renewal support savings bonus.,Salary,12153400,Income
2020-08-08,Personal hotel investment transfer.,Entertainment,8651800,Expense
2020-08-08,Train automatic project vendor invoice.,Other,36499500,Income
2020-08-08,Them key.,Travel,15094200,Expense
2020-08-08,Address century that wide.,Shopping,10810600,Expense
2020-08-09,Taxi vendor parking.,Utilities,4161500,Expense
2020-08-09,Entertainment pharmacy express project.,Utilities,3111700,Expense
2020-08-09,Travel personal premium.,Investment,42708300,Income
2020-08-09,Entertainment household.,Utilities,7070500,Expense
2020-08-09,Sit enter perhaps however.,Entertainment,9815800,Expense
2020-08-09,Standard purchase financial contract plan premium fee.,Other,12447200,Income
2020-08-09,Client taxi store.,Food & Drink,12854500,Expense
2020-08-09,Travel internet project clinic maintenance contract plan.,Shopping,9979400,Expense
2020-08-10,Support debit maintenance financial.,Investment,25201800,Income
2020-08-10,Shop priority.,Salary,3494200,Income
2020-08-10,Health premium freelance.,Food & Drink,17146600,Expense
2020-08-11,Pending bus interest hotel savings.,Rent,12126000,Expense
2020-08-11,Account freelance.,Entertainment,10522200,Expense
2020-08-11,Priority purchase digital standard advance.,Utilities,14458600,Expense
2020-08-11,Fee vendor plan purchase credit hospital water.,Health & Fitness,5206400,Expense
2020-08-11,Personal clinic.,Food & Drink,12720900,Expense
2020-08-11,Entertainment total adjustment weekly regular package service.,Entertainment,4782900,Expense
2020-08-11,Salary hospital transfer.,Travel,10077300,Expense
2020-08-11,Personal priority discount.,Health & Fitness,12242000,Expense
2020-08-12,Order direct loan entertainment daily reward.,Other,34372900,Income
2020-08-12,Bus contract phone taxi bill food savings.,Food & Drink,1664300,Expense
2020-08-12,Gross grocery advance.,Salary,5158500,Income
2020-08-12,Monthly order bonus loan weekly.,Travel,13955800,Expense
2020-08-12,Grocery freelance food parking priority.,Travel,12163700,Expense
2020-08-12,Charge business tax gym premium.,Entertainment,5808300,Expense
2020-08-12,Hospital electricity transfer food delivery restaurant travel.,Salary,5307800,Income
2020-08-12,Taxi interest pending digital tools.,Health & Fitness,13190000,Expense
2020-08-13,Parking client.,Utilities,13376400,Expense
2020-08-13,System teacher here first.,Salary,677600,Income
2020-08-13,Subscription debit network mall personal plan.,Investment,27832300,Income
2020-08-13,Daily restaurant.,Travel,16455500,Expense
2020-08-14,Purchase software balance investment app fee.,Health & Fitness,9452200,Expense
2020-08-14,Budget salary renewal health flight.,Health & Fitness,11709800,Expense
2020-08-14,Along attention piece tv young.,Shopping,14511200,Expense
2020-08-14,Insurance deposit weekly.,Rent,2635000,Expense
2020-08-14,Bonus regular budget market bonus reward parking.,Travel,12129500,Expense
2020-08-14,Store software.,Salary,14173100,Income
2020-08-14,Bus software savings.,Food & Drink,4866800,Expense
2020-08-15,Gross renewal project processed regular debit grocery.,Utilities,15351900,Expense
2020-08-15,Parking system package.,Travel,6436500,Expense
2020-08-15,Utility market hardware net tools credit direct.,Entertainment,11201300,Expense
2020-08-15,Net invoice standard personal grocery.,Travel,13443600,Expense
2020-08-15,Insurance project.,Investment,29690000,Income
2020-08-15,Travel utility daily advance software bill.,Shopping,18699300,Expense
2020-08-15,Package direct fuel.,Travel,8352500,Expense
2020-08-15,Flight support entertainment.,Other,43225500,Income
2020-08-15,Travel travel mortgage.,Food & Drink,18575100,Expense
2020-08-15,Gross financial economy.,Utilities,8119000,Expense
2020-08-16,System network.,Health & Fitness,15670000,Expense
2020-08-16,Within set region beyond.,Utilities,19616400,Expense
2020-08-17,Total tools tax package utility.,Other,21190600,Income
2020-08-17,Material maintenance project travel food management parking.,Food & Drink,11666000,Expense
2020-08-17,Tough animal someone.,Shopping,11878700,Expense
2020-08-17,Tax personal client household economy renewal.,Shopping,17350500,Expense
2020-08-17,Daily travel electricity tax water digital entertainment.,Rent,16795000,Expense
2020-08-17,Tools express.,Salary,8031900,Income
2020-08-17,Entertainment management.,Investment,14079700,Income
2020-08-18,System utility tools.,Travel,14299100,Expense
2020-08-18,Weekly food budget total.,Rent,2866400,Expense
2020-08-18,Internet vendor mortgage.,Shopping,17353500,Expense
2020-08-18,Network total electricity.,Rent,10077300,Expense
2020-08-18,Hear certainly most not.,Rent,12890700,Expense
2020-08-18,Service digital booking maintenance flight reward.,Utilities,593000,Expense
2020-08-19,Company participant him.,Other,19880000,Income
2020-08-19,Bill priority.,Shopping,4939900,Expense
2020-08-19,Maintenance charge discount.,Entertainment,12250300,Expense
2020-08-20,Software gross plan mortgage automatic grocery premium.,Other,30053000,Income
2020-08-20,Tree central leave effect.,Other,31810000,Income
2020-08-20,Fee invoice.,Investment,22936400,Income
2020-08-20,Weekly online express store hotel.,Travel,18548400,Expense
2020-08-20,Tools internet.,Utilities,19641000,Expense
2020-08-20,Standard adjustment processed bill.,Utilities,3315200,Expense
2020-08-21,Interest account gym entertainment savings order premium.,Rent,8096000,Expense
2020-08-21,Together let.,Health & Fitness,6816300,Expense
2020-08-21,Purchase personal vendor flight material plan market.,Food & Drink,7016800,Expense
2020-08-21,Citizen kid generation onto police.,Travel,15065000,Expense
2020-08-22,Salary processed.,Utilities,10084300,Expense
2020-08-22,Down occur.,Food & Drink,19998200,Expense
2020-08-22,Lead few yourself.,Travel,16714700,Expense
2020-08-22,Vendor material support project health.,Shopping,12103700,Expense
2020-08-22,Savings direct.,Food & Drink,6201500,Expense
